propnum,allocid,propname,apinum,nri
"e165421110ba03099a1c0393373c5b43","233","Pad 35 Well 1",,"1"
"0b1ec366924b26fc98fa7b71a9c249cf","2091","Pad 55 Well 1"," 0000000129","1"
"006f52e9102a8d3be2fe5614f42ba989","168","Pad 214 Well 2",,"0.98"
"ac627ab1ccbdb62ec96e702f07f6425b","99","Pad 203 Well 1"," 0000000466","0.93"
"0777d5c17d4066b82ab86dff8a46af6f","163","Pad 283 Well 1"," 0000000119","1"
"52dbb0686f8bd0c0c757acf716e28ec0","2061","Pad 25 Well 2"," 0000000037","1"
"cc42acc8ce334185e0193753adb6cb77","1655","Well 252"," 0000000683","1"
"a5cdd4aa0048b187f7182f1b9ce7a6a7","737","Pad 176 Well 1"," 0000000553","0.86"
"226d1f15ecd35f784d2a20c3ecf56d7f","1491","Well 190"," 0000000874","1"
"cd0f74b5955dc87fd0605745c4b49ee8","2270","Pad 361 Well 1"," 0000000953","0.99"
"084b6fbb10729ed4da8c3d3f5a3ae7c9","196","Pad 296 Well 3"," 0000000408","1"
"8e82ab7243b7c66d768f1b8ce1c967eb","830","Pad 166 Well 1"," 0000000246","1"
"d7a84628c025d30f7b2c52c958767e76","2010","Pad 288 Well 1"," 0000000205","1"
"2a34abd6ebbd7fcf5a4421229c946c0a","2142","Pad 66 Well 2"," 0000000601","1"
"9185f3ec501c674c7c788464a36e7fb3","2107","Pad 33 Well 1"," 0000000161","1"
"c8758b517083196f05ac29810b924aca","2011","Pad 288 Well 2"," 0000000206","0.8"
"959a557f5f6beb411fd954f3f34b21c3","766","Pad 233 Well 4"," 0000000485","0.83"
"1ff1de774005f8da13f42943881c655f","24","Pad 308 Well 5"," 0000000023","1"
"eddea82ad2755b24c4e168c5fc2ebd40","309","Pad 151 Well 1"," 0000000017","0.93"
"0e01938fc48a2cfb5f2217fbfb00722d","285","Pad 57 Well 1"," 0000000348","0.9"
"5ec91aac30eae62f4140325d09b9afd0","862","Pad 143 Well 3"," 0000000574","0.78"
"b73ce398c39f506af761d2277d853a92","160","Pad 318 Well 4"," 0000000015","0.99"
"b7892fb3c2f009c65f686f6355c895b5","937","Pad 313 Well 1"," 0000000287","0.83"
"ab1a4d0dd4d48a2ba1077c4494791306","1278","Well 95"," 0000000823","1"
"c06d06da9666a219db15cf575aff2824","690","Pad 127 Well 1"," 0000000162","0.92"
"a8f15eda80c50adb0e71943adc8015cf","151","Pad 263 Well 2",,"1"
"605ff764c617d3cd28dbbdd72be8f9a2","586","Pad 289 Well 2",,"0.78"
"e7e23670481ac78b3c4122a99ba60573","2104","Pad 15 Well 1"," 0000000157","0.92"
"af21d0c97db2e27e13572cbf59eb343d","1105","Well 21"," 0000000911","1"
"1534b76d325a8f591b52d302e7181331","212","Pad 186 Well 2"," 0000000452","1"
