areamerrickid,areaname
"0","Unassigned"
"1","Area 1"
"2","Area 2"
"3","Area 3"
"4","Area 4"
"5","Area 5"
"6","Area 6"
"7","Area 7"
"8","Area 8"
"9","Area 9"
"10","Area 10"
"11","Area 11"
"12","Area 12"
"13","Area 13"
"14","Area 14"
"15","Area 15"
"16","Area 16"
"17","Area 17"
"18","Area 18"
"19","Area 19"
"20","Area 20"
"21","Area 21"
"22","Area 22"
"23","Area 23"
"24","Area 24"
"25","Area 25"
"26","Area 26"
"27","Area 27"
"28","Area 28"
"29","Area 29"
"30","Area 30"
"31","Area 31"
"32","Area 32"
"33","Area 33"
"34","Area 34"
"35","Area 35"
"36","Area 36"
"37","Area 37"
"38","Area 38"
"39","Area 39"
"40","Area 40"
"41","Area 41"
"42","Area 42"
"43","Area 43"
"44","Area 44"
"45","Area 45"
"46","Area 46"
"47","Area 47"
"48","Area 48"
"49","Area 49"
