batterymerrickid,batteryname
"0","Unassigned"
"1","Battery 1"
"2","Battery 2"
"3","Battery 3"
"4","Battery 4"
"5","Battery 5"
"6","Battery 6"
"7","Battery 7"
"8","Battery 8"
"9","Battery 9"
"10","Battery 10"
"11","Battery 11"
"12","Battery 12"
"13","Battery 13"
"14","Battery 14"
"15","Battery 15"
"16","Battery 16"
"17","Battery 17"
"18","Battery 18"
"19","Battery 19"
"20","Battery 20"
"21","Battery 21"
"22","Battery 22"
"23","Battery 23"
"24","Battery 24"
"25","Battery 25"
"26","Battery 26"
"27","Battery 27"
"28","Battery 28"
"29","Battery 29"
"30","Battery 30"
"31","Battery 31"
"32","Battery 32"
"33","Battery 33"
"34","Battery 34"
"35","Battery 35"
"36","Battery 36"
"37","Battery 37"
"38","Battery 38"
"39","Battery 39"
"40","Battery 40"
"41","Battery 41"
"42","Battery 42"
"43","Battery 43"
"44","Battery 44"
"45","Battery 45"
"46","Battery 46"
"47","Battery 47"
"48","Battery 48"
"49","Battery 49"
"50","Battery 50"
"51","Battery 51"
"52","Battery 52"
"53","Battery 53"
"54","Battery 54"
"55","Battery 55"
"56","Battery 56"
"57","Battery 57"
"58","Battery 58"
"59","Battery 59"
"60","Battery 60"
"61","Battery 61"
"62","Battery 62"
"63","Battery 63"
"64","Battery 64"
"65","Battery 65"
"66","Battery 66"
"67","Battery 67"
"68","Battery 68"
"69","Battery 69"
"70","Battery 70"
"71","Battery 71"
"72","Battery 72"
"73","Battery 73"
"74","Battery 74"
"75","Battery 75"
"76","Battery 76"
"77","Battery 77"
"78","Battery 78"
"79","Battery 79"
"80","Battery 80"
"81","Battery 81"
"82","Battery 82"
"83","Battery 83"
"84","Battery 84"
"85","Battery 85"
"86","Battery 86"
"87","Battery 87"
"88","Battery 88"
"89","Battery 89"
"90","Battery 90"
"91","Battery 91"
"92","Battery 92"
"93","Battery 93"
"94","Battery 94"
"95","Battery 95"
"96","Battery 96"
"97","Battery 97"
"98","Battery 98"
"99","Battery 99"
"100","Battery 100"
"101","Battery 101"
"102","Battery 102"
"103","Battery 103"
"104","Battery 104"
"105","Battery 105"
"106","Battery 106"
"107","Battery 107"
"108","Battery 108"
"109","Battery 109"
"110","Battery 110"
"111","Battery 111"
"112","Battery 112"
"113","Battery 113"
"114","Battery 114"
"115","Battery 115"
"116","Battery 116"
"117","Battery 117"
"118","Battery 118"
"119","Battery 119"
"120","Battery 120"
"121","Battery 121"
"122","Battery 122"
"123","Battery 123"
"124","Battery 124"
"125","Battery 125"
