merrickid,wellname,completiontype,producingstatus,producingmethod,apiwellnumber,routeid,groupid,divisionid,fieldgroupid,areaid,batteryid,stateid,countyid,ariesid,wellviewid,activeflag,mmsapiwellnumber
"168","Pad 214 Well 2","2","9","1"," 0000000469","9","1","1","5","2","15","17","81","006f52e9102a8d3be2fe5614f42ba989",,"1"," 0000000469"
"2091","Pad 55 Well 1","2","18","34"," 0000000129","0","7","5","18","22","427","17","31","0b1ec366924b26fc98fa7b71a9c249cf","1c8757fc-d8f5-40c7-868e-82f497cb20a6","1"," 0000000129"
"99","Pad 203 Well 1","2","9","1"," 0000000466","10","1","1","16","4","5","17","81","ac627ab1ccbdb62ec96e702f07f6425b","53db1640-8109-49e3-9e49-610be6d87d4a","1"," 0000000466"
"163","Pad 283 Well 1","2","9","34"," 0000000119","7","1","1","18","22","280","17","31","0777d5c17d4066b82ab86dff8a46af6f","23d9eefa-e54e-41fd-af70-f1210e62b0ea","1"," 0000000119"
"2061","Pad 25 Well 2","2","18","1"," 0000000037","0","7","5","26","20","359","17","31","52dbb0686f8bd0c0c757acf716e28ec0","bccbedfc-d33d-447f-9c7b-a8760a2ee019","1"," 0000000037"
"1655","Well 252","0","18","1",,"0","5","3","88","0","0","42","67","cc42acc8ce334185e0193753adb6cb77","24967c5a-6237-4032-8825-abc28b2f071f","1",
"737","Pad 176 Well 1","2","9","1"," 0000000553","4","1","1","1","22","320","17","85","a5cdd4aa0048b187f7182f1b9ce7a6a7","0b19ce2a-3f25-4da8-b8a5-9404f3c67ba6","1"," 0000000553"
"1491","Well 190","1","18","1"," 0000000874","26","6","4","47","16","177","42","177","226d1f15ecd35f784d2a20c3ecf56d7f","a2ceabec-9911-4570-827e-f4d846a8b0c7","1"," 0000000874"
"2270","Pad 361 Well 1","2","18","1"," 0000000953","0","3","2","55","14","470","42","477",,"d68f3d96-3c2c-4595-8911-e5e72094161a","1"," 0000000953"
"196","Pad 296 Well 3","2","9","1"," 0000000408","8","1","1","28","1","220","17","81","084b6fbb10729ed4da8c3d3f5a3ae7c9","58030a0e-bdca-4693-b996-870c3cb028f9","1"," 0000000408"
"830","Pad 166 Well 1","2","9","1"," 0000000246","3","1","1","13","7","0","17","69","8e82ab7243b7c66d768f1b8ce1c967eb","e860c90f-e5f9-41b5-806b-0c7f4ebf4adc","1"," 0000000246"
"2010","Pad 288 Well 1","2","9","1"," 0000000205","0","1","1","17","21","206","17","31",,"37d29d7e-9005-447f-a63d-7def2f7938db","1"," 0000000205"
"2142","Pad 66 Well 2","2","18","34"," 0000000601","0","7","5","91","46","387","17","85","2a34abd6ebbd7fcf5a4421229c946c0a","6828f231-5306-4fe6-9de6-86f5dd5f2684","1"," 0000000601"
"2107","Pad 33 Well 1","2","18","34"," 0000000161","0","7","5","90","20","350","17","31","9185f3ec501c674c7c788464a36e7fb3","78bd966f-86fe-4bbc-8e2e-ee68bec212ac","1"," 0000000161"
"2011","Pad 288 Well 2","2","9","1"," 0000000206","0","1","1","17","24","206","17","31","c8758b517083196f05ac29810b924aca",,"1"," 0000000206"
"766","Pad 233 Well 4","2","9","1"," 0000000485","9","1","1","28","1","214","17","81",,"55fa2eb2-e696-4a3c-89ef-eedb98535386","1"," 0000000485"
"24","Pad 308 Well 5","2","9","1"," 0000000023","5","1","1","12","18","66","17","31","1ff1de774005f8da13f42943881c655f","74365733-b07f-4b0b-85d2-96a5e9d0fd36","1"," 0000000023"
"309","Pad 151 Well 1","2","9","34"," 0000000017","2","1","1","12","18","34","17","31","eddea82ad2755b24c4e168c5fc2ebd40","a6231553-b164-47e9-9f77-ee0a8cbbfa3d","1"," 0000000017"
"285","Pad 57 Well 1","2","9","11"," 0000000348","10","1","1","3","4","345","17","81","0e01938fc48a2cfb5f2217fbfb00722d","7eb978e5-cee0-41b1-84eb-6fce324410c4","1"," 0000000348"
"862","Pad 143 Well 3","2","9","1"," 0000000574","12","1","1","18","22","89","17","85","5ec91aac30eae62f4140325d09b9afd0","2b3afc3a-2a75-498d-a57b-8d5574db99f2","1"," 0000000574"
"160","Pad 318 Well 4","2","9","1"," 0000000015","5","1","1","12","18","14","17","31","b73ce398c39f506af761d2277d853a92","0f17b082-3aaf-459b-99d5-673b6620c5f7","1"," 0000000015"
"937","Pad 313 Well 1","2","9","1"," 0000000287","8","1","1","28","1","343","17","81","b7892fb3c2f009c65f686f6355c895b5","928ab939-72bf-4287-898e-7f9678a3c013","1"," 0000000287"
