fieldgroupmerrickid,fieldgroupname
"0","Unassigned"
"1","Field Group 1"
"2","Field Group 2"
"3","Field Group 3"
"4","Field Group 4"
"5","Field Group 5"
"6","Field Group 6"
"7","Field Group 7"
"8","Field Group 8"
"9","Field Group 9"
"10","Field Group 10"
"11","Field Group 11"
"12","Field Group 12"
"13","Field Group 13"
"14","Field Group 14"
"15","Field Group 15"
"16","Field Group 16"
"17","Field Group 17"
"18","Field Group 18"
"19","Field Group 19"
"20","Field Group 20"
"21","Field Group 21"
"22","Field Group 22"
"23","Field Group 23"
"24","Field Group 24"
"25","Field Group 25"
"26","Field Group 26"
"27","Field Group 27"
"28","Field Group 28"
"29","Field Group 29"
"30","Field Group 30"
"31","Field Group 31"
"32","Field Group 32"
"33","Field Group 33"
"34","Field Group 34"
"35","Field Group 35"
"36","Field Group 36"
"37","Field Group 37"
"38","Field Group 38"
"39","Field Group 39"
"40","Field Group 40"
"41","Field Group 41"
"42","Field Group 42"
"43","Field Group 43"
"44","Field Group 44"
"45","Field Group 45"
"46","Field Group 46"
"47","Field Group 47"
"48","Field Group 48"
"49","Field Group 49"
"50","Field Group 50"
"51","Field Group 51"
"52","Field Group 52"
"53","Field Group 53"
"54","Field Group 54"
"55","Field Group 55"
"56","Field Group 56"
"57","Field Group 57"
"58","Field Group 58"
"59","Field Group 59"
"60","Field Group 60"
"61","Field Group 61"
"62","Field Group 62"
"63","Field Group 63"
"64","Field Group 64"
"65","Field Group 65"
"66","Field Group 66"
"67","Field Group 67"
"68","Field Group 68"
"69","Field Group 69"
"70","Field Group 70"
"71","Field Group 71"
"72","Field Group 72"
"73","Field Group 73"
"74","Field Group 74"
"75","Field Group 75"
"76","Field Group 76"
"77","Field Group 77"
"78","Field Group 78"
"79","Field Group 79"
"80","Field Group 80"
"81","Field Group 81"
"82","Field Group 82"
"83","Field Group 83"
"84","Field Group 84"
"85","Field Group 85"
"86","Field Group 86"
"87","Field Group 87"
"88","Field Group 88"
"89","Field Group 89"
"90","Field Group 90"
"91","Field Group 91"
"92","Field Group 92"
"93","Field Group 93"
