statecode,countycode,countyname
"0","0","Unassigned"
"1","0","Unassigned"
"1","1","County 1-1"
"1","3","County 1-3"
"1","5","County 1-5"
"1","7","County 1-7"
"1","9","County 1-9"
"1","11","County 1-11"
"1","13","County 1-13"
"1","15","County 1-15"
"1","17","County 1-17"
"1","19","County 1-19"
"1","21","County 1-21"
"1","23","County 1-23"
"1","25","County 1-25"
"1","27","County 1-27"
"1","29","County 1-29"
"1","31","County 1-31"
"1","33","County 1-33"
"1","35","County 1-35"
"1","37","County 1-37"
"1","39","County 1-39"
"1","41","County 1-41"
"1","43","County 1-43"
"1","45","County 1-45"
"1","47","County 1-47"
"1","49","County 1-49"
"1","51","County 1-51"
"1","53","County 1-53"
"1","55","County 1-55"
"1","57","County 1-57"
"1","59","County 1-59"
"1","61","County 1-61"
"1","63","County 1-63"
"1","65","County 1-65"
"1","67","County 1-67"
"1","69","County 1-69"
"1","71","County 1-71"
"1","73","County 1-73"
"1","75","County 1-75"
"1","77","County 1-77"
"1","79","County 1-79"
"1","81","County 1-81"
"1","83","County 1-83"
"1","85","County 1-85"
"1","87","County 1-87"
"1","89","County 1-89"
"1","91","County 1-91"
"1","93","County 1-93"
"1","95","County 1-95"
"1","97","County 1-97"
"1","99","County 1-99"
"1","101","County 1-101"
"1","103","County 1-103"
"1","105","County 1-105"
"1","107","County 1-107"
"1","109","County 1-109"
"1","111","County 1-111"
"1","113","County 1-113"
"1","115","County 1-115"
"1","117","County 1-117"
"1","119","County 1-119"
"1","121","County 1-121"
"1","123","County 1-123"
"1","125","County 1-125"
"1","127","County 1-127"
"1","129","County 1-129"
"1","131","County 1-131"
"1","133","County 1-133"
"1","203","County 1-203"
"1","297","County 1-297"
"2","0","Unassigned"
"2","1","County 2-1"
"2","3","County 2-3"
"2","5","County 2-5"
"2","7","County 2-7"
"2","9","County 2-9"
"2","11","County 2-11"
"2","12","County 2-12"
"2","13","County 2-13"
"2","15","County 2-15"
"2","17","County 2-17"
"2","19","County 2-19"
"2","21","County 2-21"
"2","23","County 2-23"
"2","25","County 2-25"
"2","27","County 2-27"
"3","0","Unassigned"
"3","1","County 3-1"
"3","3","County 3-3"
"3","5","County 3-5"
"3","7","County 3-7"
"3","9","County 3-9"
"3","11","County 3-11"
"3","13","County 3-13"
"3","15","County 3-15"
"3","17","County 3-17"
"3","19","County 3-19"
"3","21","County 3-21"
"3","23","County 3-23"
"3","25","County 3-25"
"3","27","County 3-27"
"3","29","County 3-29"
"3","31","County 3-31"
"3","33","County 3-33"
"3","35","County 3-35"
"3","37","County 3-37"
"3","39","County 3-39"
"3","41","County 3-41"
"3","43","County 3-43"
"3","45","County 3-45"
"3","47","County 3-47"
"3","49","County 3-49"
"3","51","County 3-51"
"3","53","County 3-53"
"3","55","County 3-55"
"3","57","County 3-57"
"3","59","County 3-59"
"3","61","County 3-61"
"3","63","County 3-63"
"3","65","County 3-65"
"3","67","County 3-67"
"3","69","County 3-69"
"3","71","County 3-71"
"3","73","County 3-73"
"3","75","County 3-75"
"3","77","County 3-77"
"3","79","County 3-79"
"3","81","County 3-81"
"3","83","County 3-83"
"3","85","County 3-85"
"3","87","County 3-87"
"3","89","County 3-89"
"3","91","County 3-91"
"3","93","County 3-93"
"3","95","County 3-95"
"3","97","County 3-97"
"3","99","County 3-99"
"3","101","County 3-101"
"3","103","County 3-103"
"3","105","County 3-105"
"3","107","County 3-107"
"3","109","County 3-109"
"3","111","County 3-111"
"3","113","County 3-113"
"3","115","County 3-115"
"3","117","County 3-117"
"3","119","County 3-119"
"3","121","County 3-121"
"3","123","County 3-123"
"3","125","County 3-125"
"3","127","County 3-127"
"3","129","County 3-129"
"3","131","County 3-131"
"3","133","County 3-133"
"3","135","County 3-135"
"3","137","County 3-137"
"3","139","County 3-139"
"3","141","County 3-141"
"3","143","County 3-143"
"3","145","County 3-145"
"3","147","County 3-147"
"3","149","County 3-149"
"4","0","Unassigned"
"4","1","County 4-1"
"4","3","County 4-3"
"4","5","County 4-5"
"4","7","County 4-7"
"4","9","County 4-9"
"4","11","County 4-11"
"4","13","County 4-13"
"4","15","County 4-15"
"4","17","County 4-17"
"4","19","County 4-19"
"4","21","County 4-21"
"4","23","County 4-23"
"4","25","County 4-25"
"4","27","County 4-27"
"4","29","County 4-29"
"4","30","County 4-30"
"4","31","County 4-31"
"4","33","County 4-33"
"4","35","County 4-35"
"4","37","County 4-37"
"4","39","County 4-39"
"4","41","County 4-41"
"4","43","County 4-43"
"4","45","County 4-45"
"4","47","County 4-47"
"4","49","County 4-49"
"4","51","County 4-51"
"4","53","County 4-53"
"4","55","County 4-55"
"4","57","County 4-57"
"4","59","County 4-59"
"4","61","County 4-61"
"4","63","County 4-63"
"4","65","County 4-65"
"4","67","County 4-67"
"4","69","County 4-69"
"4","71","County 4-71"
"4","73","County 4-73"
"4","75","County 4-75"
"4","77","County 4-77"
"4","79","County 4-79"
"4","81","County 4-81"
"4","83","County 4-83"
"4","85","County 4-85"
"4","87","County 4-87"
"4","89","County 4-89"
"4","91","County 4-91"
"4","93","County 4-93"
"4","95","County 4-95"
"4","97","County 4-97"
"4","99","County 4-99"
"4","101","County 4-101"
"4","103","County 4-103"
"4","105","County 4-105"
"4","107","County 4-107"
"4","109","County 4-109"
"4","111","County 4-111"
"4","113","County 4-113"
"4","115","County 4-115"
"4","116","County 4-116"
"4","118","County 4-118"
"4","120","County 4-120"
"4","122","County 4-122"
"4","124","County 4-124"
"4","126","County 4-126"
"4","128","County 4-128"
"4","130","County 4-130"
"4","201","County 4-201"
"4","211","County 4-211"
"4","213","County 4-213"
"4","215","County 4-215"
"4","216","County 4-216"
"4","218","County 4-218"
"4","220","County 4-220"
"4","222","County 4-222"
"4","223","County 4-223"
"4","224","County 4-224"
"4","226","County 4-226"
"4","228","County 4-228"
"4","230","County 4-230"
"4","237","County 4-237"
"4","241","County 4-241"
"4","245","County 4-245"
"4","253","County 4-253"
"4","255","County 4-255"
"4","259","County 4-259"
"4","273","County 4-273"
"4","275","County 4-275"
"4","279","County 4-279"
"4","281","County 4-281"
"4","283","County 4-283"
"4","287","County 4-287"
"4","295","County 4-295"
"4","297","County 4-297"
"4","305","County 4-305"
"4","307","County 4-307"
"4","308","County 4-308"
"4","309","County 4-309"
"4","310","County 4-310"
"4","311","County 4-311"
"4","312","County 4-312"
"4","313","County 4-313"
"5","0","Unassigned"
"5","1","County 5-1"
"5","3","County 5-3"
"5","5","County 5-5"
"5","7","County 5-7"
"5","9","County 5-9"
"5","11","County 5-11"
"5","13","County 5-13"
"5","14","County 5-14"
"5","15","County 5-15"
"5","17","County 5-17"
"5","19","County 5-19"
"5","21","County 5-21"
"5","23","County 5-23"
"5","25","County 5-25"
"5","27","County 5-27"
"5","29","County 5-29"
"5","31","County 5-31"
"5","33","County 5-33"
"5","35","County 5-35"
"5","37","County 5-37"
"5","39","County 5-39"
"5","41","County 5-41"
"5","43","County 5-43"
"5","45","County 5-45"
"5","47","County 5-47"
"5","49","County 5-49"
"5","51","County 5-51"
"5","53","County 5-53"
"5","55","County 5-55"
"5","57","County 5-57"
"5","59","County 5-59"
"5","61","County 5-61"
"5","63","County 5-63"
"5","65","County 5-65"
"5","67","County 5-67"
"5","69","County 5-69"
"5","71","County 5-71"
"5","73","County 5-73"
"5","75","County 5-75"
"5","77","County 5-77"
"5","79","County 5-79"
"5","81","County 5-81"
"5","83","County 5-83"
"5","85","County 5-85"
"5","87","County 5-87"
"5","89","County 5-89"
"5","91","County 5-91"
"5","93","County 5-93"
"5","95","County 5-95"
"5","97","County 5-97"
"5","99","County 5-99"
"5","101","County 5-101"
"5","103","County 5-103"
"5","105","County 5-105"
"5","107","County 5-107"
"5","109","County 5-109"
"5","111","County 5-111"
"5","113","County 5-113"
"5","115","County 5-115"
"5","117","County 5-117"
"5","119","County 5-119"
